,Grid Point
562,"(-0.4666666666666667, -0.5555555555555556)"
563,"(-0.4666666666666667, -0.5111111111111111)"
564,"(-0.4666666666666667, -0.4666666666666667)"
565,"(-0.4666666666666667, -0.42222222222222217)"
566,"(-0.4666666666666667, -0.37777777777777777)"
567,"(-0.4666666666666667, -0.33333333333333326)"
568,"(-0.4666666666666667, -0.28888888888888886)"
569,"(-0.4666666666666667, -0.24444444444444446)"
570,"(-0.4666666666666667, -0.19999999999999996)"
571,"(-0.4666666666666667, -0.15555555555555556)"
572,"(-0.4666666666666667, -0.11111111111111105)"
573,"(-0.4666666666666667, -0.06666666666666665)"
574,"(-0.4666666666666667, -0.022222222222222143)"
575,"(-0.4666666666666667, 0.022222222222222365)"
576,"(-0.4666666666666667, 0.06666666666666665)"
577,"(-0.4666666666666667, 0.11111111111111116)"
578,"(-0.4666666666666667, 0.15555555555555567)"
579,"(-0.4666666666666667, 0.19999999999999996)"
580,"(-0.4666666666666667, 0.24444444444444446)"
581,"(-0.4666666666666667, 0.288888888888889)"
582,"(-0.4666666666666667, 0.3333333333333335)"
583,"(-0.4666666666666667, 0.37777777777777777)"
584,"(-0.4666666666666667, 0.4222222222222223)"
585,"(-0.4666666666666667, 0.4666666666666668)"
586,"(-0.4666666666666667, 0.5111111111111111)"
587,"(-0.4666666666666667, 0.5555555555555556)"
588,"(-0.4666666666666667, 0.6000000000000001)"
589,"(-0.4666666666666667, 0.6444444444444446)"
590,"(-0.4666666666666667, 0.6888888888888889)"
591,"(-0.4666666666666667, 0.7333333333333334)"
592,"(-0.4666666666666667, 0.7777777777777779)"
593,"(-0.4666666666666667, 0.8222222222222222)"
594,"(-0.4666666666666667, 0.8666666666666667)"
595,"(-0.4666666666666667, 0.9111111111111112)"
596,"(-0.4666666666666667, 0.9555555555555557)"
597,"(-0.4666666666666667, 1.0)"
598,"(-0.42222222222222217, -1.0)"
599,"(-0.42222222222222217, -0.9555555555555556)"
600,"(-0.42222222222222217, -0.9111111111111111)"
601,"(-0.42222222222222217, -0.8666666666666667)"
602,"(-0.42222222222222217, -0.8222222222222222)"
603,"(-0.42222222222222217, -0.7777777777777778)"
604,"(-0.42222222222222217, -0.7333333333333334)"
605,"(-0.42222222222222217, -0.6888888888888889)"
606,"(-0.42222222222222217, -0.6444444444444444)"
607,"(-0.42222222222222217, -0.6)"
608,"(-0.42222222222222217, -0.5555555555555556)"
609,"(-0.42222222222222217, -0.5111111111111111)"
610,"(-0.42222222222222217, -0.4666666666666667)"
611,"(-0.42222222222222217, -0.42222222222222217)"
612,"(-0.42222222222222217, -0.37777777777777777)"
613,"(-0.42222222222222217, -0.33333333333333326)"
614,"(-0.42222222222222217, -0.28888888888888886)"
615,"(-0.42222222222222217, -0.24444444444444446)"
616,"(-0.42222222222222217, -0.19999999999999996)"
617,"(-0.42222222222222217, -0.15555555555555556)"
618,"(-0.42222222222222217, -0.11111111111111105)"
619,"(-0.42222222222222217, -0.06666666666666665)"
620,"(-0.42222222222222217, -0.022222222222222143)"
621,"(-0.42222222222222217, 0.022222222222222365)"
622,"(-0.42222222222222217, 0.06666666666666665)"
623,"(-0.42222222222222217, 0.11111111111111116)"
624,"(-0.42222222222222217, 0.15555555555555567)"
625,"(-0.42222222222222217, 0.19999999999999996)"
626,"(-0.42222222222222217, 0.24444444444444446)"
627,"(-0.42222222222222217, 0.288888888888889)"
628,"(-0.42222222222222217, 0.3333333333333335)"
629,"(-0.42222222222222217, 0.37777777777777777)"
630,"(-0.42222222222222217, 0.4222222222222223)"
631,"(-0.42222222222222217, 0.4666666666666668)"
632,"(-0.42222222222222217, 0.5111111111111111)"
633,"(-0.42222222222222217, 0.5555555555555556)"
634,"(-0.42222222222222217, 0.6000000000000001)"
635,"(-0.42222222222222217, 0.6444444444444446)"
636,"(-0.42222222222222217, 0.6888888888888889)"
637,"(-0.42222222222222217, 0.7333333333333334)"
638,"(-0.42222222222222217, 0.7777777777777779)"
639,"(-0.42222222222222217, 0.8222222222222222)"
640,"(-0.42222222222222217, 0.8666666666666667)"
641,"(-0.42222222222222217, 0.9111111111111112)"
642,"(-0.42222222222222217, 0.9555555555555557)"
643,"(-0.42222222222222217, 1.0)"
644,"(-0.37777777777777777, -1.0)"
645,"(-0.37777777777777777, -0.9555555555555556)"
646,"(-0.37777777777777777, -0.9111111111111111)"
647,"(-0.37777777777777777, -0.8666666666666667)"
648,"(-0.37777777777777777, -0.8222222222222222)"
649,"(-0.37777777777777777, -0.7777777777777778)"
650,"(-0.37777777777777777, -0.7333333333333334)"
651,"(-0.37777777777777777, -0.6888888888888889)"
652,"(-0.37777777777777777, -0.6444444444444444)"
653,"(-0.37777777777777777, -0.6)"
654,"(-0.37777777777777777, -0.5555555555555556)"
655,"(-0.37777777777777777, -0.5111111111111111)"
656,"(-0.37777777777777777, -0.4666666666666667)"
657,"(-0.37777777777777777, -0.42222222222222217)"
658,"(-0.37777777777777777, -0.37777777777777777)"
659,"(-0.37777777777777777, -0.33333333333333326)"
660,"(-0.37777777777777777, -0.28888888888888886)"
661,"(-0.37777777777777777, -0.24444444444444446)"
662,"(-0.37777777777777777, -0.19999999999999996)"
663,"(-0.37777777777777777, -0.15555555555555556)"
664,"(-0.37777777777777777, -0.11111111111111105)"
665,"(-0.37777777777777777, -0.06666666666666665)"
666,"(-0.37777777777777777, -0.022222222222222143)"
667,"(-0.37777777777777777, 0.022222222222222365)"
668,"(-0.37777777777777777, 0.06666666666666665)"
669,"(-0.37777777777777777, 0.11111111111111116)"
670,"(-0.37777777777777777, 0.15555555555555567)"
671,"(-0.37777777777777777, 0.19999999999999996)"
672,"(-0.37777777777777777, 0.24444444444444446)"
673,"(-0.37777777777777777, 0.288888888888889)"
674,"(-0.37777777777777777, 0.3333333333333335)"
675,"(-0.37777777777777777, 0.37777777777777777)"
676,"(-0.37777777777777777, 0.4222222222222223)"
677,"(-0.37777777777777777, 0.4666666666666668)"
678,"(-0.37777777777777777, 0.5111111111111111)"
679,"(-0.37777777777777777, 0.5555555555555556)"
680,"(-0.37777777777777777, 0.6000000000000001)"
681,"(-0.37777777777777777, 0.6444444444444446)"
682,"(-0.37777777777777777, 0.6888888888888889)"
683,"(-0.37777777777777777, 0.7333333333333334)"
684,"(-0.37777777777777777, 0.7777777777777779)"
685,"(-0.37777777777777777, 0.8222222222222222)"
686,"(-0.37777777777777777, 0.8666666666666667)"
687,"(-0.37777777777777777, 0.9111111111111112)"
688,"(-0.37777777777777777, 0.9555555555555557)"
689,"(-0.37777777777777777, 1.0)"
690,"(-0.33333333333333326, -1.0)"
691,"(-0.33333333333333326, -0.9555555555555556)"
692,"(-0.33333333333333326, -0.9111111111111111)"
693,"(-0.33333333333333326, -0.8666666666666667)"
694,"(-0.33333333333333326, -0.8222222222222222)"
695,"(-0.33333333333333326, -0.7777777777777778)"
696,"(-0.33333333333333326, -0.7333333333333334)"
697,"(-0.33333333333333326, -0.6888888888888889)"
698,"(-0.33333333333333326, -0.6444444444444444)"
699,"(-0.33333333333333326, -0.6)"
700,"(-0.33333333333333326, -0.5555555555555556)"
701,"(-0.33333333333333326, -0.5111111111111111)"
702,"(-0.33333333333333326, -0.4666666666666667)"
703,"(-0.33333333333333326, -0.42222222222222217)"
704,"(-0.33333333333333326, -0.37777777777777777)"
705,"(-0.33333333333333326, -0.33333333333333326)"
706,"(-0.33333333333333326, -0.28888888888888886)"
707,"(-0.33333333333333326, -0.24444444444444446)"
708,"(-0.33333333333333326, -0.19999999999999996)"
709,"(-0.33333333333333326, -0.15555555555555556)"
710,"(-0.33333333333333326, -0.11111111111111105)"
711,"(-0.33333333333333326, -0.06666666666666665)"
712,"(-0.33333333333333326, -0.022222222222222143)"
713,"(-0.33333333333333326, 0.022222222222222365)"
714,"(-0.33333333333333326, 0.06666666666666665)"
715,"(-0.33333333333333326, 0.11111111111111116)"
716,"(-0.33333333333333326, 0.15555555555555567)"
717,"(-0.33333333333333326, 0.19999999999999996)"
718,"(-0.33333333333333326, 0.24444444444444446)"
719,"(-0.33333333333333326, 0.288888888888889)"
720,"(-0.33333333333333326, 0.3333333333333335)"
721,"(-0.33333333333333326, 0.37777777777777777)"
722,"(-0.33333333333333326, 0.4222222222222223)"
723,"(-0.33333333333333326, 0.4666666666666668)"
724,"(-0.33333333333333326, 0.5111111111111111)"
725,"(-0.33333333333333326, 0.5555555555555556)"
726,"(-0.33333333333333326, 0.6000000000000001)"
727,"(-0.33333333333333326, 0.6444444444444446)"
728,"(-0.33333333333333326, 0.6888888888888889)"
729,"(-0.33333333333333326, 0.7333333333333334)"
730,"(-0.33333333333333326, 0.7777777777777779)"
731,"(-0.33333333333333326, 0.8222222222222222)"
732,"(-0.33333333333333326, 0.8666666666666667)"
733,"(-0.33333333333333326, 0.9111111111111112)"
734,"(-0.33333333333333326, 0.9555555555555557)"
735,"(-0.33333333333333326, 1.0)"
736,"(-0.28888888888888886, -1.0)"
737,"(-0.28888888888888886, -0.9555555555555556)"
738,"(-0.28888888888888886, -0.9111111111111111)"
739,"(-0.28888888888888886, -0.8666666666666667)"
740,"(-0.28888888888888886, -0.8222222222222222)"
741,"(-0.28888888888888886, -0.7777777777777778)"
742,"(-0.28888888888888886, -0.7333333333333334)"
743,"(-0.28888888888888886, -0.6888888888888889)"
744,"(-0.28888888888888886, -0.6444444444444444)"
745,"(-0.28888888888888886, -0.6)"
746,"(-0.28888888888888886, -0.5555555555555556)"
747,"(-0.28888888888888886, -0.5111111111111111)"
748,"(-0.28888888888888886, -0.4666666666666667)"
749,"(-0.28888888888888886, -0.42222222222222217)"
750,"(-0.28888888888888886, -0.37777777777777777)"
751,"(-0.28888888888888886, -0.33333333333333326)"
752,"(-0.28888888888888886, -0.28888888888888886)"
753,"(-0.28888888888888886, -0.24444444444444446)"
754,"(-0.28888888888888886, -0.19999999999999996)"
755,"(-0.28888888888888886, -0.15555555555555556)"
756,"(-0.28888888888888886, -0.11111111111111105)"
757,"(-0.28888888888888886, -0.06666666666666665)"
758,"(-0.28888888888888886, -0.022222222222222143)"
759,"(-0.28888888888888886, 0.022222222222222365)"
760,"(-0.28888888888888886, 0.06666666666666665)"
761,"(-0.28888888888888886, 0.11111111111111116)"
762,"(-0.28888888888888886, 0.15555555555555567)"
763,"(-0.28888888888888886, 0.19999999999999996)"
764,"(-0.28888888888888886, 0.24444444444444446)"
765,"(-0.28888888888888886, 0.288888888888889)"
766,"(-0.28888888888888886, 0.3333333333333335)"
767,"(-0.28888888888888886, 0.37777777777777777)"
768,"(-0.28888888888888886, 0.4222222222222223)"
769,"(-0.28888888888888886, 0.4666666666666668)"
770,"(-0.28888888888888886, 0.5111111111111111)"
771,"(-0.28888888888888886, 0.5555555555555556)"
772,"(-0.28888888888888886, 0.6000000000000001)"
773,"(-0.28888888888888886, 0.6444444444444446)"
774,"(-0.28888888888888886, 0.6888888888888889)"
775,"(-0.28888888888888886, 0.7333333333333334)"
776,"(-0.28888888888888886, 0.7777777777777779)"
777,"(-0.28888888888888886, 0.8222222222222222)"
778,"(-0.28888888888888886, 0.8666666666666667)"
779,"(-0.28888888888888886, 0.9111111111111112)"
780,"(-0.28888888888888886, 0.9555555555555557)"
781,"(-0.28888888888888886, 1.0)"
782,"(-0.24444444444444446, -1.0)"
783,"(-0.24444444444444446, -0.9555555555555556)"
784,"(-0.24444444444444446, -0.9111111111111111)"
785,"(-0.24444444444444446, -0.8666666666666667)"
786,"(-0.24444444444444446, -0.8222222222222222)"
787,"(-0.24444444444444446, -0.7777777777777778)"
788,"(-0.24444444444444446, -0.7333333333333334)"
789,"(-0.24444444444444446, -0.6888888888888889)"
790,"(-0.24444444444444446, -0.6444444444444444)"
791,"(-0.24444444444444446, -0.6)"
792,"(-0.24444444444444446, -0.5555555555555556)"
793,"(-0.24444444444444446, -0.5111111111111111)"
794,"(-0.24444444444444446, -0.4666666666666667)"
795,"(-0.24444444444444446, -0.42222222222222217)"
796,"(-0.24444444444444446, -0.37777777777777777)"
797,"(-0.24444444444444446, -0.33333333333333326)"
798,"(-0.24444444444444446, -0.28888888888888886)"
799,"(-0.24444444444444446, -0.24444444444444446)"
800,"(-0.24444444444444446, -0.19999999999999996)"
801,"(-0.24444444444444446, -0.15555555555555556)"
802,"(-0.24444444444444446, -0.11111111111111105)"
803,"(-0.24444444444444446, -0.06666666666666665)"
804,"(-0.24444444444444446, -0.022222222222222143)"
805,"(-0.24444444444444446, 0.022222222222222365)"
806,"(-0.24444444444444446, 0.06666666666666665)"
807,"(-0.24444444444444446, 0.11111111111111116)"
808,"(-0.24444444444444446, 0.15555555555555567)"
809,"(-0.24444444444444446, 0.19999999999999996)"
810,"(-0.24444444444444446, 0.24444444444444446)"
811,"(-0.24444444444444446, 0.288888888888889)"
812,"(-0.24444444444444446, 0.3333333333333335)"
813,"(-0.24444444444444446, 0.37777777777777777)"
814,"(-0.24444444444444446, 0.4222222222222223)"
815,"(-0.24444444444444446, 0.4666666666666668)"
816,"(-0.24444444444444446, 0.5111111111111111)"
817,"(-0.24444444444444446, 0.5555555555555556)"
818,"(-0.24444444444444446, 0.6000000000000001)"
819,"(-0.24444444444444446, 0.6444444444444446)"
820,"(-0.24444444444444446, 0.6888888888888889)"
821,"(-0.24444444444444446, 0.7333333333333334)"
822,"(-0.24444444444444446, 0.7777777777777779)"
823,"(-0.24444444444444446, 0.8222222222222222)"
824,"(-0.24444444444444446, 0.8666666666666667)"
825,"(-0.24444444444444446, 0.9111111111111112)"
826,"(-0.24444444444444446, 0.9555555555555557)"
827,"(-0.24444444444444446, 1.0)"
828,"(-0.19999999999999996, -1.0)"
829,"(-0.19999999999999996, -0.9555555555555556)"
830,"(-0.19999999999999996, -0.9111111111111111)"
831,"(-0.19999999999999996, -0.8666666666666667)"
832,"(-0.19999999999999996, -0.8222222222222222)"
833,"(-0.19999999999999996, -0.7777777777777778)"
834,"(-0.19999999999999996, -0.7333333333333334)"
835,"(-0.19999999999999996, -0.6888888888888889)"
836,"(-0.19999999999999996, -0.6444444444444444)"
837,"(-0.19999999999999996, -0.6)"
838,"(-0.19999999999999996, -0.5555555555555556)"
839,"(-0.19999999999999996, -0.5111111111111111)"
840,"(-0.19999999999999996, -0.4666666666666667)"
841,"(-0.19999999999999996, -0.42222222222222217)"
842,"(-0.19999999999999996, -0.37777777777777777)"
843,"(-0.19999999999999996, -0.33333333333333326)"
844,"(-0.19999999999999996, -0.28888888888888886)"
845,"(-0.19999999999999996, -0.24444444444444446)"
846,"(-0.19999999999999996, -0.19999999999999996)"
847,"(-0.19999999999999996, -0.15555555555555556)"
848,"(-0.19999999999999996, -0.11111111111111105)"
849,"(-0.19999999999999996, -0.06666666666666665)"
850,"(-0.19999999999999996, -0.022222222222222143)"
851,"(-0.19999999999999996, 0.022222222222222365)"
852,"(-0.19999999999999996, 0.06666666666666665)"
853,"(-0.19999999999999996, 0.11111111111111116)"
854,"(-0.19999999999999996, 0.15555555555555567)"
855,"(-0.19999999999999996, 0.19999999999999996)"
856,"(-0.19999999999999996, 0.24444444444444446)"
857,"(-0.19999999999999996, 0.288888888888889)"
858,"(-0.19999999999999996, 0.3333333333333335)"
859,"(-0.19999999999999996, 0.37777777777777777)"
860,"(-0.19999999999999996, 0.4222222222222223)"
861,"(-0.19999999999999996, 0.4666666666666668)"
862,"(-0.19999999999999996, 0.5111111111111111)"
863,"(-0.19999999999999996, 0.5555555555555556)"
864,"(-0.19999999999999996, 0.6000000000000001)"
865,"(-0.19999999999999996, 0.6444444444444446)"
866,"(-0.19999999999999996, 0.6888888888888889)"
867,"(-0.19999999999999996, 0.7333333333333334)"
868,"(-0.19999999999999996, 0.7777777777777779)"
869,"(-0.19999999999999996, 0.8222222222222222)"
870,"(-0.19999999999999996, 0.8666666666666667)"
871,"(-0.19999999999999996, 0.9111111111111112)"
872,"(-0.19999999999999996, 0.9555555555555557)"
873,"(-0.19999999999999996, 1.0)"
874,"(-0.15555555555555556, -1.0)"
875,"(-0.15555555555555556, -0.9555555555555556)"
876,"(-0.15555555555555556, -0.9111111111111111)"
877,"(-0.15555555555555556, -0.8666666666666667)"
878,"(-0.15555555555555556, -0.8222222222222222)"
879,"(-0.15555555555555556, -0.7777777777777778)"
880,"(-0.15555555555555556, -0.7333333333333334)"
881,"(-0.15555555555555556, -0.6888888888888889)"
882,"(-0.15555555555555556, -0.6444444444444444)"
883,"(-0.15555555555555556, -0.6)"
884,"(-0.15555555555555556, -0.5555555555555556)"
885,"(-0.15555555555555556, -0.5111111111111111)"
886,"(-0.15555555555555556, -0.4666666666666667)"
887,"(-0.15555555555555556, -0.42222222222222217)"
888,"(-0.15555555555555556, -0.37777777777777777)"
889,"(-0.15555555555555556, -0.33333333333333326)"
890,"(-0.15555555555555556, -0.28888888888888886)"
891,"(-0.15555555555555556, -0.24444444444444446)"
892,"(-0.15555555555555556, -0.19999999999999996)"
893,"(-0.15555555555555556, -0.15555555555555556)"
894,"(-0.15555555555555556, -0.11111111111111105)"
895,"(-0.15555555555555556, -0.06666666666666665)"
896,"(-0.15555555555555556, -0.022222222222222143)"
897,"(-0.15555555555555556, 0.022222222222222365)"
898,"(-0.15555555555555556, 0.06666666666666665)"
899,"(-0.15555555555555556, 0.11111111111111116)"
900,"(-0.15555555555555556, 0.15555555555555567)"
901,"(-0.15555555555555556, 0.19999999999999996)"
902,"(-0.15555555555555556, 0.24444444444444446)"
903,"(-0.15555555555555556, 0.288888888888889)"
904,"(-0.15555555555555556, 0.3333333333333335)"
905,"(-0.15555555555555556, 0.37777777777777777)"
906,"(-0.15555555555555556, 0.4222222222222223)"
907,"(-0.15555555555555556, 0.4666666666666668)"
908,"(-0.15555555555555556, 0.5111111111111111)"
909,"(-0.15555555555555556, 0.5555555555555556)"
910,"(-0.15555555555555556, 0.6000000000000001)"
911,"(-0.15555555555555556, 0.6444444444444446)"
912,"(-0.15555555555555556, 0.6888888888888889)"
913,"(-0.15555555555555556, 0.7333333333333334)"
914,"(-0.15555555555555556, 0.7777777777777779)"
915,"(-0.15555555555555556, 0.8222222222222222)"
916,"(-0.15555555555555556, 0.8666666666666667)"
917,"(-0.15555555555555556, 0.9111111111111112)"
918,"(-0.15555555555555556, 0.9555555555555557)"
919,"(-0.15555555555555556, 1.0)"
920,"(-0.11111111111111105, -1.0)"
921,"(-0.11111111111111105, -0.9555555555555556)"
922,"(-0.11111111111111105, -0.9111111111111111)"
923,"(-0.11111111111111105, -0.8666666666666667)"
924,"(-0.11111111111111105, -0.8222222222222222)"
925,"(-0.11111111111111105, -0.7777777777777778)"
926,"(-0.11111111111111105, -0.7333333333333334)"
927,"(-0.11111111111111105, -0.6888888888888889)"
928,"(-0.11111111111111105, -0.6444444444444444)"
929,"(-0.11111111111111105, -0.6)"
930,"(-0.11111111111111105, -0.5555555555555556)"
931,"(-0.11111111111111105, -0.5111111111111111)"
932,"(-0.11111111111111105, -0.4666666666666667)"
933,"(-0.11111111111111105, -0.42222222222222217)"
934,"(-0.11111111111111105, -0.37777777777777777)"
935,"(-0.11111111111111105, -0.33333333333333326)"
936,"(-0.11111111111111105, -0.28888888888888886)"
937,"(-0.11111111111111105, -0.24444444444444446)"
938,"(-0.11111111111111105, -0.19999999999999996)"
939,"(-0.11111111111111105, -0.15555555555555556)"
940,"(-0.11111111111111105, -0.11111111111111105)"
941,"(-0.11111111111111105, -0.06666666666666665)"
942,"(-0.11111111111111105, -0.022222222222222143)"
943,"(-0.11111111111111105, 0.022222222222222365)"
944,"(-0.11111111111111105, 0.06666666666666665)"
945,"(-0.11111111111111105, 0.11111111111111116)"
946,"(-0.11111111111111105, 0.15555555555555567)"
947,"(-0.11111111111111105, 0.19999999999999996)"
948,"(-0.11111111111111105, 0.24444444444444446)"
949,"(-0.11111111111111105, 0.288888888888889)"
950,"(-0.11111111111111105, 0.3333333333333335)"
951,"(-0.11111111111111105, 0.37777777777777777)"
952,"(-0.11111111111111105, 0.4222222222222223)"
953,"(-0.11111111111111105, 0.4666666666666668)"
954,"(-0.11111111111111105, 0.5111111111111111)"
955,"(-0.11111111111111105, 0.5555555555555556)"
956,"(-0.11111111111111105, 0.6000000000000001)"
957,"(-0.11111111111111105, 0.6444444444444446)"
958,"(-0.11111111111111105, 0.6888888888888889)"
959,"(-0.11111111111111105, 0.7333333333333334)"
960,"(-0.11111111111111105, 0.7777777777777779)"
961,"(-0.11111111111111105, 0.8222222222222222)"
962,"(-0.11111111111111105, 0.8666666666666667)"
963,"(-0.11111111111111105, 0.9111111111111112)"
964,"(-0.11111111111111105, 0.9555555555555557)"
965,"(-0.11111111111111105, 1.0)"
966,"(-0.06666666666666665, -1.0)"
967,"(-0.06666666666666665, -0.9555555555555556)"
968,"(-0.06666666666666665, -0.9111111111111111)"
969,"(-0.06666666666666665, -0.8666666666666667)"
970,"(-0.06666666666666665, -0.8222222222222222)"
971,"(-0.06666666666666665, -0.7777777777777778)"
972,"(-0.06666666666666665, -0.7333333333333334)"
973,"(-0.06666666666666665, -0.6888888888888889)"
974,"(-0.06666666666666665, -0.6444444444444444)"
975,"(-0.06666666666666665, -0.6)"
976,"(-0.06666666666666665, -0.5555555555555556)"
977,"(-0.06666666666666665, -0.5111111111111111)"
978,"(-0.06666666666666665, -0.4666666666666667)"
979,"(-0.06666666666666665, -0.42222222222222217)"
980,"(-0.06666666666666665, -0.37777777777777777)"
981,"(-0.06666666666666665, -0.33333333333333326)"
982,"(-0.06666666666666665, -0.28888888888888886)"
983,"(-0.06666666666666665, -0.24444444444444446)"
984,"(-0.06666666666666665, -0.19999999999999996)"
985,"(-0.06666666666666665, -0.15555555555555556)"
986,"(-0.06666666666666665, -0.11111111111111105)"
987,"(-0.06666666666666665, -0.06666666666666665)"
988,"(-0.06666666666666665, -0.022222222222222143)"
989,"(-0.06666666666666665, 0.022222222222222365)"
990,"(-0.06666666666666665, 0.06666666666666665)"
991,"(-0.06666666666666665, 0.11111111111111116)"
992,"(-0.06666666666666665, 0.15555555555555567)"
993,"(-0.06666666666666665, 0.19999999999999996)"
994,"(-0.06666666666666665, 0.24444444444444446)"
995,"(-0.06666666666666665, 0.288888888888889)"
996,"(-0.06666666666666665, 0.3333333333333335)"
997,"(-0.06666666666666665, 0.37777777777777777)"
998,"(-0.06666666666666665, 0.4222222222222223)"
999,"(-0.06666666666666665, 0.4666666666666668)"
1000,"(-0.06666666666666665, 0.5111111111111111)"
1001,"(-0.06666666666666665, 0.5555555555555556)"
1002,"(-0.06666666666666665, 0.6000000000000001)"
1003,"(-0.06666666666666665, 0.6444444444444446)"
1004,"(-0.06666666666666665, 0.6888888888888889)"
1005,"(-0.06666666666666665, 0.7333333333333334)"
1006,"(-0.06666666666666665, 0.7777777777777779)"
1007,"(-0.06666666666666665, 0.8222222222222222)"
1008,"(-0.06666666666666665, 0.8666666666666667)"
1009,"(-0.06666666666666665, 0.9111111111111112)"
1010,"(-0.06666666666666665, 0.9555555555555557)"
1011,"(-0.06666666666666665, 1.0)"
1012,"(-0.022222222222222143, -1.0)"
1013,"(-0.022222222222222143, -0.9555555555555556)"
1014,"(-0.022222222222222143, -0.9111111111111111)"
1015,"(-0.022222222222222143, -0.8666666666666667)"
1016,"(-0.022222222222222143, -0.8222222222222222)"
1017,"(-0.022222222222222143, -0.7777777777777778)"
1018,"(-0.022222222222222143, -0.7333333333333334)"
1019,"(-0.022222222222222143, -0.6888888888888889)"
1020,"(-0.022222222222222143, -0.6444444444444444)"
1021,"(-0.022222222222222143, -0.6)"
1022,"(-0.022222222222222143, -0.5555555555555556)"
1023,"(-0.022222222222222143, -0.5111111111111111)"
1024,"(-0.022222222222222143, -0.4666666666666667)"
1025,"(-0.022222222222222143, -0.42222222222222217)"
1026,"(-0.022222222222222143, -0.37777777777777777)"
1027,"(-0.022222222222222143, -0.33333333333333326)"
1028,"(-0.022222222222222143, -0.28888888888888886)"
1029,"(-0.022222222222222143, -0.24444444444444446)"
1030,"(-0.022222222222222143, -0.19999999999999996)"
1031,"(-0.022222222222222143, -0.15555555555555556)"
1032,"(-0.022222222222222143, -0.11111111111111105)"
1033,"(-0.022222222222222143, -0.06666666666666665)"
1034,"(-0.022222222222222143, -0.022222222222222143)"
1035,"(-0.022222222222222143, 0.022222222222222365)"
1036,"(-0.022222222222222143, 0.06666666666666665)"
1037,"(-0.022222222222222143, 0.11111111111111116)"
1038,"(-0.022222222222222143, 0.15555555555555567)"
1039,"(-0.022222222222222143, 0.19999999999999996)"
1040,"(-0.022222222222222143, 0.24444444444444446)"
1041,"(-0.022222222222222143, 0.288888888888889)"
1042,"(-0.022222222222222143, 0.3333333333333335)"
1043,"(-0.022222222222222143, 0.37777777777777777)"
1044,"(-0.022222222222222143, 0.4222222222222223)"
1045,"(-0.022222222222222143, 0.4666666666666668)"
1046,"(-0.022222222222222143, 0.5111111111111111)"
1047,"(-0.022222222222222143, 0.5555555555555556)"
1048,"(-0.022222222222222143, 0.6000000000000001)"
1049,"(-0.022222222222222143, 0.6444444444444446)"
1050,"(-0.022222222222222143, 0.6888888888888889)"
1051,"(-0.022222222222222143, 0.7333333333333334)"
1052,"(-0.022222222222222143, 0.7777777777777779)"
1053,"(-0.022222222222222143, 0.8222222222222222)"
1054,"(-0.022222222222222143, 0.8666666666666667)"
1055,"(-0.022222222222222143, 0.9111111111111112)"
1056,"(-0.022222222222222143, 0.9555555555555557)"
1057,"(-0.022222222222222143, 1.0)"
1058,"(0.022222222222222365, -1.0)"
1059,"(0.022222222222222365, -0.9555555555555556)"
1060,"(0.022222222222222365, -0.9111111111111111)"
1061,"(0.022222222222222365, -0.8666666666666667)"
1062,"(0.022222222222222365, -0.8222222222222222)"
1063,"(0.022222222222222365, -0.7777777777777778)"
1064,"(0.022222222222222365, -0.7333333333333334)"
1065,"(0.022222222222222365, -0.6888888888888889)"
1066,"(0.022222222222222365, -0.6444444444444444)"
1067,"(0.022222222222222365, -0.6)"
1068,"(0.022222222222222365, -0.5555555555555556)"
1069,"(0.022222222222222365, -0.5111111111111111)"
1070,"(0.022222222222222365, -0.4666666666666667)"
1071,"(0.022222222222222365, -0.42222222222222217)"
1072,"(0.022222222222222365, -0.37777777777777777)"
1073,"(0.022222222222222365, -0.33333333333333326)"
1074,"(0.022222222222222365, -0.28888888888888886)"
1075,"(0.022222222222222365, -0.24444444444444446)"
1076,"(0.022222222222222365, -0.19999999999999996)"
1077,"(0.022222222222222365, -0.15555555555555556)"
1078,"(0.022222222222222365, -0.11111111111111105)"
1079,"(0.022222222222222365, -0.06666666666666665)"
1080,"(0.022222222222222365, -0.022222222222222143)"
1081,"(0.022222222222222365, 0.022222222222222365)"
1082,"(0.022222222222222365, 0.06666666666666665)"
1083,"(0.022222222222222365, 0.11111111111111116)"
1084,"(0.022222222222222365, 0.15555555555555567)"
1085,"(0.022222222222222365, 0.19999999999999996)"
1086,"(0.022222222222222365, 0.24444444444444446)"
1087,"(0.022222222222222365, 0.288888888888889)"
1088,"(0.022222222222222365, 0.3333333333333335)"
1089,"(0.022222222222222365, 0.37777777777777777)"
1090,"(0.022222222222222365, 0.4222222222222223)"
1091,"(0.022222222222222365, 0.4666666666666668)"
1092,"(0.022222222222222365, 0.5111111111111111)"
1093,"(0.022222222222222365, 0.5555555555555556)"
1094,"(0.022222222222222365, 0.6000000000000001)"
1095,"(0.022222222222222365, 0.6444444444444446)"
1096,"(0.022222222222222365, 0.6888888888888889)"
1097,"(0.022222222222222365, 0.7333333333333334)"
1098,"(0.022222222222222365, 0.7777777777777779)"
1099,"(0.022222222222222365, 0.8222222222222222)"
1100,"(0.022222222222222365, 0.8666666666666667)"
1101,"(0.022222222222222365, 0.9111111111111112)"
1102,"(0.022222222222222365, 0.9555555555555557)"
1103,"(0.022222222222222365, 1.0)"
1104,"(0.06666666666666665, -1.0)"
