,Grid Point
133,"(-0.9111111111111111, 0.8222222222222222)"
134,"(-0.9111111111111111, 0.8666666666666667)"
135,"(-0.9111111111111111, 0.9111111111111112)"
136,"(-0.9111111111111111, 0.9555555555555557)"
137,"(-0.9111111111111111, 1.0)"
138,"(-0.8666666666666667, -1.0)"
139,"(-0.8666666666666667, -0.9555555555555556)"
140,"(-0.8666666666666667, -0.9111111111111111)"
141,"(-0.8666666666666667, -0.8666666666666667)"
142,"(-0.8666666666666667, -0.8222222222222222)"
143,"(-0.8666666666666667, -0.7777777777777778)"
144,"(-0.8666666666666667, -0.7333333333333334)"
145,"(-0.8666666666666667, -0.6888888888888889)"
146,"(-0.8666666666666667, -0.6444444444444444)"
147,"(-0.8666666666666667, -0.6)"
148,"(-0.8666666666666667, -0.5555555555555556)"
149,"(-0.8666666666666667, -0.5111111111111111)"
150,"(-0.8666666666666667, -0.4666666666666667)"
151,"(-0.8666666666666667, -0.42222222222222217)"
152,"(-0.8666666666666667, -0.37777777777777777)"
153,"(-0.8666666666666667, -0.33333333333333326)"
154,"(-0.8666666666666667, -0.28888888888888886)"
155,"(-0.8666666666666667, -0.24444444444444446)"
156,"(-0.8666666666666667, -0.19999999999999996)"
157,"(-0.8666666666666667, -0.15555555555555556)"
158,"(-0.8666666666666667, -0.11111111111111105)"
159,"(-0.8666666666666667, -0.06666666666666665)"
160,"(-0.8666666666666667, -0.022222222222222143)"
161,"(-0.8666666666666667, 0.022222222222222365)"
162,"(-0.8666666666666667, 0.06666666666666665)"
163,"(-0.8666666666666667, 0.11111111111111116)"
164,"(-0.8666666666666667, 0.15555555555555567)"
165,"(-0.8666666666666667, 0.19999999999999996)"
166,"(-0.8666666666666667, 0.24444444444444446)"
167,"(-0.8666666666666667, 0.288888888888889)"
168,"(-0.8666666666666667, 0.3333333333333335)"
169,"(-0.8666666666666667, 0.37777777777777777)"
170,"(-0.8666666666666667, 0.4222222222222223)"
171,"(-0.8666666666666667, 0.4666666666666668)"
172,"(-0.8666666666666667, 0.5111111111111111)"
173,"(-0.8666666666666667, 0.5555555555555556)"
174,"(-0.8666666666666667, 0.6000000000000001)"
175,"(-0.8666666666666667, 0.6444444444444446)"
176,"(-0.8666666666666667, 0.6888888888888889)"
177,"(-0.8666666666666667, 0.7333333333333334)"
178,"(-0.8666666666666667, 0.7777777777777779)"
179,"(-0.8666666666666667, 0.8222222222222222)"
180,"(-0.8666666666666667, 0.8666666666666667)"
181,"(-0.8666666666666667, 0.9111111111111112)"
182,"(-0.8666666666666667, 0.9555555555555557)"
183,"(-0.8666666666666667, 1.0)"
184,"(-0.8222222222222222, -1.0)"
185,"(-0.8222222222222222, -0.9555555555555556)"
186,"(-0.8222222222222222, -0.9111111111111111)"
187,"(-0.8222222222222222, -0.8666666666666667)"
188,"(-0.8222222222222222, -0.8222222222222222)"
189,"(-0.8222222222222222, -0.7777777777777778)"
190,"(-0.8222222222222222, -0.7333333333333334)"
191,"(-0.8222222222222222, -0.6888888888888889)"
192,"(-0.8222222222222222, -0.6444444444444444)"
193,"(-0.8222222222222222, -0.6)"
194,"(-0.8222222222222222, -0.5555555555555556)"
195,"(-0.8222222222222222, -0.5111111111111111)"
196,"(-0.8222222222222222, -0.4666666666666667)"
197,"(-0.8222222222222222, -0.42222222222222217)"
198,"(-0.8222222222222222, -0.37777777777777777)"
199,"(-0.8222222222222222, -0.33333333333333326)"
200,"(-0.8222222222222222, -0.28888888888888886)"
